id,task,verb,obj
1,Follow event to keep track on your favorite game or team,follow,event
2,Explore the acc tournament schedule and match location for the north carolina team,explore,acc
3,Check the sport schedule,check,schedule
4,Click register or login to join eskimi,,
5,Register or login to eskimi,login,eskimi
6,Register to meet a new friend,meet,friend
7,Click either to set a new password or to activate the lock,set,password
8,Click to set a new password to activate the lock,set,lock
9,Click to enable martian notifier and set password,,
10,Click to enable or disable world clock and daily weather report on the watch,enable,watch
11,View the available setting in the display option,view,display
12,Display manage setting,,
13,Manage the setting of weather notification,manage,weather
14,View and manage weather notification,manage,weather
15,Manage weather notification,manage,weather
16,Select and explore below listed option,explore,option
17,Select the category from a list to proceed,select,category
18,View search result and related query,,
19,Select an option from the section to explore,select,section
20,View the message about card and account,view,card
21,Add card or view added card and account,add,card
22,Select option to submit feedback or report an issue,,
23,Select one of the available option to proceed,,
24,Click to report an issue or submit an idea,report,issue
25,View todays football match schedule,today,schedule
26,View the upcoming match for today,view,today
27,View upcoming match,,
28,Search contact and check call status,,
29,Search contact and place to enable and hide caller i d,,
30,View contact list,view,contact
31,Check detail about etio cros car and the offer,check,detail
32,Get offer on a car,get,car
33,View car detail and check offer,,
34,Explore the latest game news or switch to match centre or video for more content,explore,game
35,Read news article on shome app,Read,article
36,Browse sport news,browse,sport
37,Search over 1 billion number,search,number
38,Look up a number,,
39,Enter a number to search,enter,number
40,Explore the help menu option,explore,option
41,Search and explore help feature option,explore,
42,Explore help option,,
43,Follow esport league to view personalized experience,follow,esport
44,Start following favorite league and click next to proceed,,
45,Follow your favorite league,follow,league
46,Check the legal option and explore other more option of follow my health app,check,option
47,View legal support detail of followmyhealth,view,followmyhealth
48,Choose legal option from support sidebar,choose,sidebar
49,Explore the side bar menu option,explore,side
50,Select an option from the menu to explore,select,menu
51,Select the option from menu list,select,menu
52,Sign up to see or select sitter from below listed group option,,
53,Select the group to see sitter,select,group
54,Sign up for activity and parenting group,sign,parenting
55,Manage search detail,manage,search
56,Enter required detail and save it,require,detail
57,Fill the search criterion,fill,criterion
58,Click to purchase free sticker,purchase,sticker
59,Check free sticker pack,check,sticker
60,Download sticker,,
61,Browse and select pokémon available in the caughtdex within dexter,select,pokémon
62,View caughtdex checklist of dexter,view,checklist
63,Choose from the option given under caughtdex,choose,caughtdex
64,Explore all available option,explore,option
65,Select an option to explore,select,option
66,Explore option under scholly app,,
67,Read the story and do like comment and share,read,story
68,Read the story of my fake boyfriend,read,boyfriend
69,Share my fake boyfriend story,share,boyfriend
70,Explore and shop by all category,explore,category
71,Explore our shopping product,explore,shopping
72,Explore shopping option,,
73,Select an apartment from list of apartment,select,apartment
74,Select apartment from the list of option,,
75,See detail of the apartment,see,apartment
76,Click get status to view the status of your refund,get,status
77,Enter required detail to check refund status,require,detail
78,Check refund status,check,refund
79,Select the location from the list below,select,location
80,Select your location from the list,select,location
81,Choose your location,choose,location
82,Click on allow location to proceed,,
83,Tap on allow location to proceed,,
84,Click on allow location to use app,,
85,Translate number into spanish,,
86,View number in spanish,,
87,Translate number in spanish,,
88,Explore about klara,explore,klara
89,Read and explore about klara,explore,klara
90,Read the information about klara weather app,read,klara
91,Choose genesi from the list of book or alternatively switch to a specific chapter or verse,choose,genesi
92,Select a book from the list of the bible book,select,bible
93,Choose the book from the list,choose,book
94,Enter your detail to sign up or join,enter,detail
95,Enter the detail to join now or alternatively click on the sign in button,enter,detail
96,Enter personal detail to sign up,enter,detail
97,Enter required detail to register,require,detail
98,Register for a new account,register,account
99,Choose a username and password for creating greenlap account,choose,greenlap
100,Read about useful fishing knot version,read,fishing
101,View copyright and version of useful fishing knot,view,copyright
102,Check the current version of the useful fishing knot app,check,fishing
103,Enter input for sent aquamail,enter,input
104,Enter detail and type message to send e - mail,enter,type
105,Send an email,send,email
106,Click next once you ve chosen yes or no,,
107,Select yes or no to continue,,
108,Select the appropriate answer,select,answer
109,Select the birthday and tap next to continue or press back to go back,select,birthday
110,Scroll and select birthday date,,
111,Select birthday,,
112,Select a gender and click on the next button,select,gender
113,Select your gender and click next,select,gender
114,Select your gender and proceed,select,gender
115,Select to explore below listed all sample file,,
116,Select all document with a single click on all,select,click
117,Manage file of phone,manage,file
118,Search and explore dish,explore,dish
119,Explore the main dish or search for specific one,explore,dish
120,Search and place an order of main dish,place,dish
121,Click the plus button to add prayer in the mine tab or switch to all prayer,,
122,Click on the plus button to add prayer in the mine tab or switch to all prayer,,
123,Add prayer request,add,request
124,Click on get started to mix and match product also subscribe for essential bundle,,
125,Get started with a subscription box,start,subscription
126,Proceed to get started for shopping,,
127,Customize your ebook reading experience,customize,experience
128,Select an option from the menu of a book app,select,book
129,Input or select criterion to confirm profile for registration,,
130,Enter required detail for profile to play,require,detail
131,Enter detail to confirm profile and play,enter,detail
132,Enter your login detail to sign in or click get started now to create an account,enter,login
133,Enter required detail to sign in,require,detail
134,Enter detail to sing or create a new account,enter,detail
135,Enter detail and click on the continue button to set password for app lock or click on back button,enter,detail
136,Enter security detail then select continue or back,enter,security
137,Set app lock,,
138,Entry page to enable drivemode,,
139,Enable drivemode to read and reply to text message by voice,,
140,Entry page to enable drivemode,,
141,Proceed to next page on onboarding screen,proceed,page
142,View tutorial of how to download addon,,
143,Proceed to next page on onboarding screen,proceed,page
144,Read about genesi,read,genesi
145,Read the text under genesi 1,read,text
146,Search and read about genesi,read,genesi
147,Play music of radio station kchk 1350am,play,kchk
148,Tap on the play button to play,,
149,Play recorded audio,play,audio
150,Search the merchant place or location on the map,search,merchant
151,Explore merchant map,,
152,Find place on merchant map,find,merchant
153,Click to set alarm ringtone,,
154,Adjust volume and set alarm ringtone,,
155,Set alarm ringtone,,
156,Explore naturalreaders mobile text - to - speech app,naturalreader,speech
157,Read the information about natural reader text - to - speech,read,reader
158,Read the paragraph from the app,read,paragraph
159,Click to download offline english voice,download,voice
160,Explore and view the book or item in my library or add more item,view,book
161,Explore the library for offline hd english voice,explore,library
162,Manage or select audio book from library,,
163,Explore all article in my library,explore,article
164,Download offline from my library,,
165,Explore available option and download offline hd english voice,explore,download
166,Select one option from the list of option,select,list
167,Select item from library,,
168,Translate from english to spanish,translate,english
169,Translate into spanish language,translate,language
170,Check suggested word from the spanish dictionary,suggest,dictionary
171,Explore the musical feature,explore,feature
172,Explore the musical feature,explore,feature
173,Select option under home,,
174,Read information under info about music interval,read,information
175,Read the information about interval,read,interval
176,View about the information of the interval,view,interval
177,Explore option and get help planning via the premium section,,
178,Enter datum and proceed further,enter,datum
179,Select an option for busines planning,select,option
180,Read the post about the weather,read,post
181,Read about weather information,read,weather
182,View or read the information,read,information
183,Manage setting,,
184,Manage setting for chart and ticker,,
185,Review card type or switch to weekly breakdown or answer button in default statistic,review,card
186,View default statistic of card type,,
187,Check the default statistic,check,default
188,Enter detail to sign up,enter,detail
189,Enter detail to sign up,enter,detail
190,Fill detail to sign up,fill,detail
191,Browse or select 1 bhk house for rent from below option,select,bhk
192,Browse house for rent,,
193,View property listing,view,listing
194,Explore the blacklist to view detail of blocked contact,explore,blacklist
195,View the contact on blacklist,view,blacklist
196,Manage blacklisted number,blacklist,number
197,Manage loan setting,manage,loan
198,View and manage loan setting,manage,loan
199,Explore option under loan setting,,
200,Check flight timing,check,timing
201,View flight from aalborg to abu dhabi,view,abu
202,Book a flight,,
203,Explore the available flight option from aalborg to abu dhabi,explore,flight
204,View flight from aalborg to abu dhabi,view,abu
205,Check flight itinerary from aalborg to abu dhabi,check,itinerary
206,Explore information about the daily dozen,explore,dozen
207,Read about nutritionfactsorg,Read,nutritionfactsorg
208,Read about the application,read,application
209,Enter required detail to sign up,require,detail
210,Enter input to signup to join android forum,enter,input
211,Enter detail to sign up,enter,detail
212,Explore the country list,explore,country
213,View datum storage size of country,view,size
214,Select a country name from list,select,country
215,Explore left side bar menu option,leave,side
216,Explore the option available in the askmd menu,explore,askmd
217,Exploring sharecare menu,explore,sharecare
218,Enter the personal information as input,enter,information
219,Enter a name to explore,enter,name
220,Enter a name to create insult and share them,enter,name
221,Connect to wifi network or switch to toolbox or discover,wifi,network
222,Check the speed of the wifi connection,check,speed
223,Connect to wifi network,connect,network
224,Give input for weight and workout repetition,give,repetition
225,Provide input for weight and workout repetition,provide,repetition
226,Track weight and check repetition,,
227,Enable location service for weather information,,
228,Choose to enable location or do it later,enable,location
229,Click on enable location to get the news and weather,,
230,Swipe to the next item click the back button or choose to share or download it,,
231,Swipe to next item,,
232,View or download birthday card,download,birthday
233,Manage favorite manga source,manage,source
234,View the manga source under favorite,view,source
235,Manage manga source file,manage,manga
236,Enter the pickup location to to start a reservation or click the sign in button,enter,location
237,Enter a pickup location for start reservation,enter,reservation
238,Enter a pick - up location to start a reservation,enter,location
239,Enter required detail to sign up or login,require,detail
240,Enter email i d and password to sign up,enter,email
241,Enter detail for login or sign up account,enter,detail
242,Search the location for nespresso on the map,search,location
243,Explore the location of nespresso retailer,explore,retailer
244,View the available location for nespresso,view,nespresso
