id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
1,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,thorough redesign,ui,setting bar,consider,unknown,ranking text,increase,current button size,purpose and function,align,purpose and function,unknown,remove,purpose and function
2,menu option layout,enlarge,button or icon allow user to see current location,separate background,choose,text color contrast,right arrow key,enlarge,button or icon allow user to see current location,setting bar,offer,uneven padding,current button size,increase,current button size,current button size,increase,current button size,ranking text,increase,current button size
3,breakfast icon,adjust,current button size,unknown,unknown,unknown,ranking text,remove,purpose and function,breakfast icon,align,breakfast icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
4,positioning use design software to ensure alignment,consider,unknown,systematic arrangement,try,unknown,unknown,remove,unknown,LOG,make,Log,Register button,give,dark color scheme Bounding Box,unknown,unknown,unknown,unknown,unknown,unknown
5,forgot password button,adjust,text color contrast,Register button,make,Log,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6,forgot password button,two label,button or icon allow user to see current location,current background blur,need,brightness,unknown,correct,error and omission except,unknown,remove,unknown,purpose and function,separation,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown
7,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,unknown,adjust,text color contrast,ranking text,make,unknown,ranking text,align,ranking text,ranking text,increase,current button size,button or icon allow user to see current location,apply,styling effect such,approximately 40 %,resize,unknown
8,ranking text,increase,current button size,unknown,add,essential content,ranking text,increase,current button size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
9,button or icon allow user to see current location,distinguish,Set Clock button,purpose and function,align,purpose and function,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
10,first letter,increase,current button size,unknown,uniform font style to be use consistently,current button size,word dictionary,leave alignment,space element,check box size,resize,check box size,more readable font,uniform font style to be use consistently,more readable font,unknown,unknown,unknown,unknown,unknown,unknown
11,two label,adjust,whole row,two label,adjust,whole row,breakfast icon,change,text color contrast,unknown,add,placeholder image or alternative visual content,item load but lack proper visual-blank image,change,item load but lack proper visual-blank image,item load but lack proper visual-blank image,change,item load but lack proper visual-blank image,unknown,unknown,unknown
12,ranking text,remove,purpose and function,unknown,try,unknown,more readable font,uniform font style to be use consistently,more readable font,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
13,ranking text,increase,current button size,ranking text,change,text color contrast,unknown,add,button or icon allow user to see current location,purpose and function,thorough redesign,dark color scheme Bounding Box,unknown,uniform font style to be use consistently,current button size,ranking text,make,ranking text,unknown,unknown,unknown
14,heading,increase,separate background,positioning use design software to ensure alignment,reintegrate,button or icon allow user to see current location,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
15,button or icon allow user to see current location,resize,button or icon allow user to see current location,heading,make,unknown,separation line,declutter,subscription message,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
16,ranking text,change,text color contrast,purpose and function,thorough redesign,dark color scheme Bounding Box,unknown,add,button or icon allow user to see current location,unknown,thorough redesign,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
17,unknown,adjust,spacing,label Custom Search could be change,make,unknown,unknown,add,heading,uniform font style to be use consistently,be,only profile,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
18,purpose and function,try,unknown,headline and rest,increase,current button size,positioning use design software to ensure alignment,align,disabled option,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
19,button or icon allow user to see current location,add,button or icon allow user to see current location,highlighted section,unknown,unknown,unknown,add,breakfast icon,placeholder image or alternative visual content,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
20,two label,uniform font style to be use consistently,clear label,positioning use design software to ensure alignment,declutter,positioning use design software to ensure alignment,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
21,header and sub header,increase,current button size,main heading and sub heading,align,heading,placeholder image or alternative visual content,try,unknown,purpose and function,try,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
