id,comment_problem,comment_verb,comment_obj
1,ranking text,increase,current button size
2,menu option layout,enlarge,button or icon allow user to see current location
3,breakfast icon,adjust,current button size
5,forgot password button,adjust,text color contrast
6,forgot password button,two label,button or icon allow user to see current location
7,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
8,ranking text,increase,current button size
9,button or icon allow user to see current location,distinguish,Set Clock button
10,first letter,increase,current button size
11,two label,adjust,whole row
12,ranking text,remove,purpose and function
13,ranking text,increase,current button size
14,heading,increase,separate background
15,button or icon allow user to see current location,resize,button or icon allow user to see current location
16,ranking text,change,text color contrast
19,button or icon allow user to see current location,add,button or icon allow user to see current location
20,two label,uniform font style to be use consistently,clear label
21,header and sub header,increase,current button size
25,ranking text,increase,current button size
26,location tab,adjust,separate background
28,highlighted section,increase,separate background
30,setting bar,add,appropriate icon clearly represent function
31,text 's small size and low color contrast,increase,separate background
32,breakfast icon,adjust,color weight
33,current button size,uniform font style to be use consistently,purpose and function
34,highlighted section,enlarge,stand highlight
35,menu icon and label match centre,align,purpose and function
36,text and title,increase,current button size
37,setting bar,separation,breakfast icon
38,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
39,breakfast icon,change,text color contrast
40,positioning use design software to ensure alignment,improve,legibility
41,purpose and function,add,section border
42,HELP,increase,placeholder image or alternative visual content
44,eSports,leave alignment,heading
45,uniform font style to be use consistently,change,text color contrast
46,text 's small size and low color contrast,increase,current button size
47,header and sub header,adjust,text color contrast
50,menu option layout,add,menu option layout
51,taskbar,improve,text color contrast
52,ranking text,increase,current button size
53,prominently position back button,create button,placeholder image or alternative visual content
55,button or icon allow user to see current location,enlarge,button or icon allow user to see current location
56,back arrow icon,align,back arrow icon
57,separate background,choose,positioning use design software to ensure alignment
58,ranking text,increase,ranking text
59,appropriate icon clearly represent function,add,ranking text
60,setting bar,adjust,text color contrast
62,ranking text,increase,separate background
63,current lack,add,consistent margin
64,ranking text,increase,current button size
68,810 digit,clarify,primary purpose
70,ranking text,increase,current button size
72,ranking text,increase,current button size
73,description,align,ranking text
74,item load but lack proper visual-blank image,add,space element
75,highlighted section,add,placeholder image or alternative visual content
76,Get Status and privacy notice label,move,Update Questions button
77,button or icon allow user to see current location,add,button or icon allow user to see current location
81,cancel button,uniform font style to be use consistently,text color contrast
82,ranking text,uniform font style to be use consistently,text color contrast
83,same passage,maintain,current button size
84,poor color contrast,choose,stand highlight
85,current ad section,move,current ad section
87,systematic arrangement,button place,current ad section
89,positioning use design software to ensure alignment,organize,highlighted section
91,current button size,increase,current button size
92,positioning use design software to ensure alignment,add,breakfast icon
93,confusing layout and unclear navigation,change,text color contrast
