id,comment1_problem,comment1_solution_verb,comment1_solution_obj,comment2_problem,comment2_solution_verb,comment2_solution_obj,comment3_problem,comment3_solution_verb,comment3_solution_obj,comment4_problem,comment4_solution_verb,comment4_solution_obj,comment5_problem,comment5_solution_verb,comment5_solution_obj,comment6_problem,comment6_solution_verb,comment6_solution_obj,comment7_problem,comment7_solution_verb,comment7_solution_obj
1,text,increase,font size and weight,text,change,color,unknown,redesign,UI,search bar,consider,unknown,text,increase,font size,element,align,element,unknown,remove,unnecessary element
2,Menu option,enlarge,button,background,choose,different font color,arrow key button,enlarge,button,menu bar,provide,padding,text font size,increase,text font size,text font size,increase,text font size,text,increase,font size
3,menu icon,adjust,positioning or size,unknown,unknown,unknown,text,remove,element,icon,align,icon,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
4,current design,consider,unknown,misalignment,try,unknown,unknown,remove,unknown,LOG,make,Log,Register button and Log,give,"similar graphic treatment , Bounding Box",unknown,unknown,unknown,unknown,unknown,unknown
5,login button,adjust,background color,Register button,make,Log,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6,login button,label,one button,current background blur,need,background blur level,unknown,correct,spelling error,unknown,remove,unknown,element,reposition,element,unknown,unknown,unknown,unknown,unknown,unknown
7,back button,enlarge,back button,unknown,adjust,color scheme,text,make,unknown,text,align,text,text font,increase,text font size,button,apply,styling effect such,approximately 40 %,resize,unknown
8,text,increase,font size,unknown,add,content,text,increase,font size,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
9,button,distinguish,button Set new password,element,align,element,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
10,letter,increase,text size,unknown,use,same font size and weight,word,leave,little space,check box size,resize,check box,font,use,more legible font,unknown,unknown,unknown,unknown,unknown,unknown
11,label,adjust,whole row,label,adjust,whole row,icon,change,color,unknown,add,visual hierarchy,image,change,image,image,change,image,unknown,unknown,unknown
