id,task,verb,obj
1,Follow event to keep track on your favorite game or team,follow,event
2,Explore the ACC Tournament schedule and match location for the North Carolina team,explore,schedule
3,Check the sport's schedule,check,schedule
4,Click Register or Login to join Eskimi,join,Eskimi
5,Register or login to Eskimi,login,Eskimi
6,Register to meet a new friend,register,friend
7,Click either to set a new password or to activate the lock,set,password
8,Click to set a new password to activate the lock,set,password
9,Click to enable Martian Notifier and set password,enable,notifier
10,Click to enable or disable World Clock and Daily Weather Report on the watch,enable,clock
11,View the available setting in the display option,view,setting
12,Display manage setting,manage,setting
13,Manage the setting of weather notification,manage,setting
14,View and Manage weather notification,manage,notification
15,Manage weather notification,manage,notification
16,Select and explore below listed option,explore,option
17,Select the category from a list to proceed,select,category
18,View search result and related query,view,result
19,Select an option from the section to explore,explore,option
20,View the message about card and account,view,message
21,Add card or view added card and account,add,card
22,Select option to Submit Feedback or Report an Issue,submit,feedback
23,Select one of the available option to proceed,select,option
24,Click to report an issue or submit an idea,report,issue
25,View today's football match schedule,view,schedule
26,View the upcoming match for today,view,match
27,View upcoming match,view,match
28,Search contact and check call status,search,contact
29,Search contact and place to enable and hide caller id,search,contact
30,View contact list,view,list
31,Check detail about Etios Cross car and the offer,check,detail
32,Get offer on a car,get,offer
33,View car detail and check offer,view,detail
34,Explore the latest game news or switch to Match Centre or Video for more content,explore,news
35,Read news article on Shome app,read,article
36,Browse sport news,browse,news
37,Search over 1 billion number,search,number
38,Look up a number,look,number
39,Enter a number to search,enter,number
40,Explore the help menu option,explore,option
41,Search and explore help feature option,explore,feature
42,Explore Help Option,explore,option
43,Follow eSports league to view personalized experience,follow,league
44,Start following favorite league and click next to proceed,follow,league
45,Follow your favorite league,follow,league
46,Check the Legal option and explore other more option of Follow my Health app,check,option
47,View legal support detail of FollowMyHealth,view,detail
48,Choose legal option from support sidebar,choose,option
49,Explore the side bar menu option,explore,option
50,Select an option from the menu to explore,explore,option
51,Select the option from menu list,select,option
52,Sign up to see or select sitter from below listed group option,select,sitter
53,Select the group to see sitter,select,group
54,Sign up for activity and parenting group,sign,group
55,Manage search detail,manage,detail
56,Enter required detail and save it,save,detail
57,Fill the search criterion,fill,criterion
58,Click to purchase free sticker,purchase,sticker
59,Check free sticker pack,check,pack
60,Download Sticker,download,sticker
61,Browse and select Pokémon available in the Caughtdex within Dexter,select,Pokémon
62,View Caughtdex checklist of dexter,view,checklist
63,Choose from the option given under caughtdex,choose,option
64,Explore All Available Option,explore,option
65,Select an option to explore,explore,option
66,Explore Option under Scholly App,explore,option
67,Read the story and do like comment and share,read,story
68,Read the story of my fake boyfriend,read,story
69,Share my Fake Boyfriend story,share,story
70,Explore and shop by all category,shop,category
71,Explore our shopping product,explore,product
72,Explore shopping option,explore,option
73,Select an apartment from list of apartment,select,apartment
74,Select apartment from the list of option,select,apartment
75,See detail of the apartment,see,detail
76,Click Get Status to view the status of your refund,view,status
77,Enter required detail to check refund status,check,status
78,Check refund status,check,status
79,Select the location from the list below,select,location
80,Select your location from the list,select,location
81,Choose your location,choose,location
82,Click on Allow Location to proceed,allow,location
83,Tap on allow location to proceed,allow,location
84,Click on allow location to use app,allow,location
85,Translate Number into Spanish,translate,number
86,View number in Spanish,view,number
87,Translate number in Spanish,translate,number
88,Explore about Klara,explore,Klara
89,Read and explore about Klara,explore,Klara
90,Read the information about Klara weather app,read,information
91,Choose Genesis from the list of book or alternatively switch to a specific chapter or verse,choose,Genesis
92,Select a book from the list of the Bible Book,select,book
93,Choose the Book from the list,choose,book
94,Enter your detail to sign up or join,sign,up
95,Enter the detail to Join Now or alternatively click on the Sign In button,join,now
96,Enter personal detail to sign up,sign,up
97,Enter required detail to register,register,detail
98,Register for a new account,register,account
99,Choose a username and password for creating greenlap account,create,account
100,Read about useful fishing knot version,read,version
101,View Copyright and version of Useful fishing knot,view,copyright
102,Check the current version of the useful fishing knot app,check,version
103,Enter input for sent aquamail,enter,input
104,Enter detail and type message to send e-mail,send,email
105,Send an email,send,email
106,Click Next once you've chosen Yes or No,choose,Yes
107,Select yes or no to continue,select,yes
108,Select the appropriate answer,select,answer
109,Select the birthday and tap Next to continue or press Back to go back,select,birthday
110,Scroll and select birthday date,select,date
111,Select Birthday,select,birthday
112,Select a gender and click on the Next button,select,gender
113,Select your gender and click Next,select,gender
114,Select your Gender and proceed,select,gender
115,Select to explore below listed all sample file,explore,file
116,Select all document with a single click on All,select,document
117,Manage File of Phone,manage,file
118,Search and explore dish,explore,dish
119,Explore the main dish or search for specific one,explore,dish
120,Search and place an order of main dish,place,order
121,Click the plus button to add prayer in the Mine tab or switch to All Prayer,add,prayer
122,Click on the plus button to add prayer in the Mine tab or switch to All Prayer,add,prayer
123,Add Prayer Request,add,request
124,Click on Get Started to mix and match product also subscribe for essential bundle,subscribe,bundle
125,Get started with a subscription box,get,box
126,Proceed to get started for shopping,get,started
127,Customize your ebook reading experience,customize,experience
128,Select an option from the menu of a book app,select,option
129,Input or select criterion to confirm profile for registration,confirm,profile
130,Enter required detail for profile to play,enter,detail
131,Enter detail to confirm profile and play,confirm,profile
132,Enter your login detail to sign in or click 'Get Started Now' to create an account,sign,in
133,Enter required detail to sign in,sign,in
134,Enter detail to Sing Or Create a new account,create,account
135,Enter detail and click on the Continue button to set password for App lock or Click on Back button,set,password
136,Enter security detail then select Continue or Back,select,continue
137,Set App Lock,set,lock
138,Entry Page to enable Drivemode,enable,Drivemode
139,Enable Drivemode to read and reply to text message by voice,enable,Drivemode
140,Entry Page to enable Drivemode,enable,Drivemode
141,Proceed to next page on onboarding screen,proceed,page
142,View tutorial of how to download addon,view,tutorial
143,Proceed to next page on onboarding screen,proceed,page
144,Read about genesis,read,genesis
145,Read the text under genesis 1,read,text
146,Search and read about Genesis,read,Genesis
147,Play music of Radio Station 'KCHK 1350AM',play,music
148,Tap on the play button to play,play,button
149,Play recorded audio,play,audio
150,Search the Merchant place or location on the Map,search,location
151,Explore merchant map,explore,map
152,Find place on Merchant Map,find,place
153,Click to set alarm ringtone,set,ringtone
154,Adjust volume and set Alarm Ringtone,set,ringtone
155,Set Alarm Ringtone,set,ringtone
156,Explore NaturalReader's Mobile Text-to-Speech App,explore,app
157,Read the information about Natural Reader text-to-speech,read,information
158,Read the paragraph from the app,read,paragraph
159,Click to Download Offline English Voice,download,voice
160,Explore and view the book or item in My Library or add more item,explore,book
161,Explore the Library for Offline HD English Voice,explore,library
162,Manage or Select audio book from library,select,book
163,Explore All article in my library,explore,article
164,Download offline from my library,download,library
165,Explore available option and download Offline HD English Voice,download,voice
166,Select one option from the list of option,select,option
167,Select item from library,select,item
168,Translate from English to Spanish,translate,English
169,Translate into Spanish language,translate,language
170,Check suggested word from the Spanish dictionary,check,word
171,Explore the musical feature,explore,feature
172,Explore the musical feature,explore,feature
173,Select Option under Home,select,option
174,Read information under INFO about music interval,read,information
175,Read the information about interval,read,information
176,view about the information of the Interval,view,information
177,Explore option and get help planning via the premium section,explore,option
178,Enter data and proceed further,enter,data
179,Select an option for business planning,select,option
180,Read the post about the weather,read,post
181,read about weather information,read,information
182,View or read the information,read,information
183,Manage setting,manage,setting
184,Manage setting for chart and ticker,manage,setting
185,Review card type or switch to weekly breakdown or answer button in default statistic,review,type
186,View Default statistic of Card type,view,statistic
187,Check the default statistic,check,statistic
188,Enter detail to sign up,sign,up
189,Enter detail to Sign Up,sign,up
190,Fill detail to Sign Up,sign,up
191,Browse or Select 1 BHK house for rent from below option,browse,house
192,Browse House for Rent,browse,house
193,View Property Listing,view,listing
194,Explore the blacklist to view detail of blocked contact,explore,blacklist
195,View the contact on blacklist,view,contact
196,Manage Blacklisted Number,manage,number
197,Manage Loan setting,manage,setting
198,View and Manage loan setting,manage,setting
199,Explore Option under Loan Setting,explore,option
200,Check flight timing,check,timing
201,View flight from Aalborg to Abu Dhabi,view,flight
202,Book a Flight,book,flight
203,Explore the available flight option from Aalborg to Abu Dhabi,explore,option
204,View flight from Aalborg to Abu Dhabi,view,flight
205,Check flight itinerary from Aalborg to Abu Dhabi,check,itinerary
206,Explore information about the Daily Dozen,explore,information
207,Read About NutritionFacts.org,read,NutritionFacts.org
208,Read about the application,read,application
209,Enter required detail to sign up,sign,up
210,Enter input to signup to join Android forum,sign,up
211,Enter detail to Sign Up,sign,up
212,Explore the country list,explore,list
213,View data storage size of country,view,size
214,Select a country name from list,select,country
215,Explore left side bar menu option,explore,option
216,Explore the option available in the AskMD menu,explore,option
217,exploring Sharecare's menu,explore,menu
218,Enter the personal information as input,enter,information
219,Enter a name to explore,enter,name
220,Enter a name to create insult and share them,create,insult
221,Connect to Wifi network or switch to Toolbox or Discover,connect,network
222,Check the speed of the WiFi connection,check,speed
223,Connect to WiFi Network,connect,network
224,Give input for Weight and Workout Repetition,give,input
225,Provide input for weight and workout repetition,provide,input
226,Track weight and check repetition,track,weight
227,Enable location service for weather information,enable,service
228,Choose to enable location or do it later,enable,location
229,click on enable location to get the news and weather,enable,location
230,Swipe to the next item click the back button or choose to share or download it,swipe,item
231,Swipe to next item,swipe,item
232,View or Download Birthday Card,download,card
233,Manage favorite manga source,manage,source
234,View the manga source under favorite,view,source
235,Manage Manga Source file,manage,file
236,Enter the pickup location to to start a reservation or click the Sign In button,start,reservation
237,Enter a pickup location for start reservation,start,reservation
238,Enter a pick-up location to start a reservation,start,reservation
239,Enter required detail to sign up or login,sign,up
240,Enter email ID and password to sign up,sign,up
241,Enter detail for login or sign up account,sign,up
242,Search the location for Nespresso on the Map,search,location
243,Explore the location of Nespresso retailer,explore,location
244,View the available location for Nespresso,view,location
245,Explore app' feature like(Rating send feedback) and share via available option,explore,feature
246,Discover the sharing option to easily share the app with others,discover,option
247,Select method for sharing app,select,method
248,Input criterion to Sign in,sign,in
249,Enter your detail to sign in to Bookshelf,sign,in
250,Enter Email ID to sign in,sign,in
251,Plan and Start Full Body Workout,plan,workout
252,Tap on the Plus icon or explore the Workout Plan,explore,plan
253,select and get started with Full body workout,get,started
254,Search and view the Weather forecast info. for San Francisco CA,view,forecast
255,View the weather condition of San Fransisco,view,condition
256,Explore weather,explore,weather
257,Center map on my current location,center,map
258,View and Set location,set,location
259,Set your location on the map,set,location
260,Explore the vast library of Nintendo Switch game,explore,library
261,Select or download a game to play,download,game
262,Select game to play,select,game
263,Manage menu planner,manage,planner
264,View Menu Planner for month,view,planner
265,Calendar List,list,calendar
266,Read like comment and save post along with check more feature like filter search etc,read,post
267,Click to dismiss the help message and explore the available option in Talklife,explore,option
268,View and Comment on the post,comment,post
269,Explore breakfast option or search for specific item,explore,option
270,View or search breakfast recipe,search,recipe
271,View the breakfast food item,view,item
272,enter 'e-mail' and click on 'Next' button to get information about data backup,enter,email
273,Enter your email for backup on WomanLog server,enter,email
274,Click Next to move to the next page of WomanLog,move,page
275,Manage or View your travelling plan,manage,plan
276,Check Start and end time or distance for walking from one place to another,check,time
277,Check status of connection detail,check,status
278,Enter personal information to create account,create,account
279,Add a photo and enter detail to create an account,create,account
280,Complete your profile,complete,profile
281,Explore or view technology content or Verify phone number,verify,number
282,Verify the phone number to follow Technology event and like or share with other,verify,number
283,Explore technology event list,explore,list
284,Select credential to view SIM detail,view,detail
285,Enter mobile number to apply for SIM,apply,SIM
286,Enter phone number to get information,get,information
287,Set the application preference,set,preference
288,Manage your setting,manage,setting
289,Manage setting,manage,setting
290,Explore option within the User tab or navigate to the Game or Team tab,explore,option
291,View or Explore your profile detail from the user menu,explore,detail
292,Manage User profile page option,manage,option
293,Proceed to next button to customize weather,customize,weather
294,Click next to track weather by sharing location,track,weather
295,Track Weather,track,weather
296,Browse item and member,browse,item
297,Search Women's item and explore other more option,search,item
298,Search item and member,search,item
299,Check the Weather hourly and wind speed of New York,check,weather
300,Monitor the hourly temperature and wind speed in New York,monitor,temperature
301,Provide weather information for New York,provide,information
302,Login to connect with the community,connect,community
303,Log in from facebook or google + or email,log,in
304,Login into your using Facebook or Google,login,account
305,Translate the word to another language,translate,word
306,Look up the meaning of text or translation using the Bravolol app,look,meaning
307,Enter word to translate,enter,word
308,Check out the Christmas gift and manage the gift list,manage,list
309,Read or Skip introduction to proceed,read,introduction
310,Explore the Welcome Page of Gift,explore,page
311,Search Location by city ZIP code airport code,search,location
312,Search location by city or Zip or Airport code,search,location
313,Search the location by city ZIP code airport code,search,location
314,Click to view the saved BMI data,view,data
315,Manage setting,manage,setting
316,Save the setting,save,setting
317,Search the Bookmarked auction,search,auction
318,Review bookmarked auction or explore other available auction option,review,auction
319,Tap to bookmark an auction,bookmark,auction
320,Enter input for login to GuySpy,login,GuySpy
321,Enter username and password for logging in,log,in
322,Enter detail to Login,login,detail
323,Enter detail to Register a Carmel Account or login with the existing one,register,account
324,Register for a Carmel account,register,account
325,Create a new account or login with the existing one,create,account
326,Continue to plan your trip or skip the tour,plan,trip
327,Plan your trip by picking your interest,pick,interest
328,Select Interest to continue,select,interest
329,Adjust and save setting,save,setting
330,Manage notification setting,manage,setting
331,Save the setting,save,setting
332,View nearby gas station,view,station
333,View the list of gas station,view,list
334,View the list of gas station,view,list
335,Explore and view daily gem,explore,gem
336,Add your first health log,add,log
337,Track Health Status log,track,log
338,View Yahoo Finance watchlist or switch to news or market tab,view,watchlist
339,Review the Watchlist on Yahoo Finance or switch to the News or Market section,review,watchlist
340,Manage your finance,manage,finance
341,Search or Browse Gumtree ZA nearby or post free ad,post,ad
342,Search Gumtree ZA or browse category or post free ad,post,ad
343,View and Post free ad for classified,post,ad
344,Tap to confirm your email address to link to Facebook,confirm,address
345,Confirm your email address to continue,confirm,address
346,Cancel or Refresh to the message to confirm the email address,confirm,address
347,Select your preferred cycle length from the option below,select,length
348,Select cycle length,select,length
349,Select the cycle length,select,length
350,Select the Week Name from the list,select,name
351,Manage setting for time and date,manage,setting
352,Explore time and date,explore,time
353,Adjust the setting option,adjust,option
354,Set your preference for setting,set,preference
355,Manage airport Setting,manage,setting
356,Find product by entering keyword or explore alternative option,find,product
357,Search product by entering a keyword,search,product
358,Select an option to explore,explore,option
359,Explore the below listed available option,explore,option
360,Select an option from menu,select,option
361,Record beat on music maker,record,beat
362,View the list of soccer league,view,list
363,View the list of league,view,list
364,View a list of soccer league,view,list
365,View all survey,view,survey
366,Pull down to refresh and view more survey,view,survey
367,View Survey,view,survey
368,Submit or Send your feedback,submit,feedback
369,Write and Send as feedback,send,feedback
370,Send feedback,send,feedback
371,Manage garden wifi tether,manage,tether
372,Manage open garden wifi tether,manage,tether
373,Manage wifi tether,manage,tether
374,Search or set your destination,set,destination
375,Set destination by searching,set,destination
376,Start a ride,start,ride
377,Click Get the App to download AmpMe or explore the FAQ,download,AmpMe
378,Read the FAQ or get the app,read,FAQ
379,Read the FAQ for AmpMe app,read,FAQ
380,Rate the Comic,rate,comic
381,Give Feedback to comic book,give,feedback
382,Write the feedback of comic,write,feedback
383,Select an option to share horoscope detail,share,detail
384,Select an option to share horoscope,share,horoscope
385,Sharing Horoscope,share,horoscope
386,Click Download to download game Talking Bird on Wire,download,game
387,Click to download the game,download,game
388,Download Talking Bird on a Wire,download,bird
389,Select Your Plan and Subscribe,subscribe,plan
390,Read or explore series guide to Unlock All Feature banner to subscribe or get x pass,unlock,feature
391,Subscribe to SeriesGuide and unlock all feature,unlock,feature
392,Explore the option listed in Jon Brown's profile under Engine Code,explore,option
393,lookup code of trouble or engine or equipment,lookup,code
394,Look up information about engine trouble code,look,information
395,Explore the Menu option for the device,explore,option
396,Explore the Menu option for the device,explore,option
397,Manage Option Page for user,manage,option
398,Select an option to explore,explore,option
399,View the sidebar menu of restaurant brewhouse,view,menu
400,View a list of option,view,list
401,Explore Salad menu and Price,explore,menu
402,View menu of starter salad,view,menu
403,View food menu and price,view,menu
404,Click Find More favorite to create favorite list or switch to Suggested to explore more option,create,list
405,Search favorite list or Schedule event,schedule,event
406,View favorite or search for team event or venue,view,favorite
407,Explore the available option within the AroundMe app,explore,option
408,Select an option from the menu of a app called AroundMe,select,option
409,Select an option to explore,explore,option
410,Choose an option for Car's ECU maintenance,choose,option
411,Select from the option shown,select,option
412,Explore the VW-AUDI option,explore,option
413,Manage Setting,manage,setting
414,Manage setting,manage,setting
415,Manage Setting,manage,setting
416,View Weather Forecast,view,forecast
417,View the weather forecast for Urbana location daywise or Swipe to change the location,view,forecast
418,View weather statistic,view,statistic
419,Review the license agreement and click to proceed,review,agreement
