id,task_category,comments_category,comment_problem,comment_verb,comment_obj,aesthetics_rating,usability_rating,design_quality_rating,learnability,efficency
1,Accessing and managing information,Layout,ranking text,increase,current button size,6,6,6,3.0,3
2,Accessing and managing information,Text Readability,menu option layout,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
3,Accessing and managing information,Layout,breakfast icon,adjust,current button size,7,7,7,4.0,4
5,User account management,Usability of Buttons,forgot password button,adjust,text color contrast,6,6,6,3.0,3
6,User account management,Layout,forgot password button,two label,button or icon allow user to see current location,7,7,7,4.0,4
7,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,6,5,6,2.0,3
8,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
9,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,distinguish,Set Clock button,7,7,7,4.0,4
10,Customization of app settings and preferences,Layout,first letter,increase,current button size,6,6,6,3.0,3
11,Customization of app settings and preferences,Learnability,two label,adjust,whole row,5,6,6,3.0,3
12,Customization of app settings and preferences,Layout,ranking text,remove,purpose and function,7,7,7,4.0,4
13,Customization of app settings and preferences,Text Readability,ranking text,increase,current button size,6,6,6,3.0,3
14,Customization of app settings and preferences,Usability of Buttons,heading,increase,separate background,6,6,6,3.0,3
15,Customization of app settings and preferences,Usability of Buttons,button or icon allow user to see current location,resize,button or icon allow user to see current location,5,6,6,3.0,3
16,Exploration and Navigation,Layout,ranking text,change,text color contrast,6,6,6,3.0,3
19,Exploration and Navigation,Layout,button or icon allow user to see current location,add,button or icon allow user to see current location,5,5,5,3.0,2
20,Accessing and managing information,Layout,two label,uniform font style to be use consistently,clear label,5,4,5,2.0,2
21,Accessing and managing information,Layout,header and sub header,increase,current button size,4,4,5,2.0,2
25,Accessing and managing information,Usability of Buttons,ranking text,increase,current button size,6,6,6,3.0,3
26,Accessing and managing information,Color Contrast,location tab,adjust,separate background,6,6,6,3.0,3
28,Accessing and managing information,Color Contrast,highlighted section,increase,separate background,8,8,8,4.0,4
30,Accessing and managing information,Usability of Buttons,setting bar,add,appropriate icon clearly represent function,7,7,6,3.0,3
31,Accessing and managing information,Layout,text 's small size and low color contrast,increase,separate background,5,6,5,3.0,3
32,Accessing and managing information,Usability of Buttons,breakfast icon,adjust,color weight,6,6,6,3.0,3
33,Accessing and managing information,Layout,current button size,uniform font style to be use consistently,purpose and function,7,7,7,4.0,4
34,Exploration and Navigation,Layout,highlighted section,enlarge,stand highlight,6,5,6,2.0,3
35,Media and content interaction,Layout,menu icon and label match centre,align,purpose and function,5,7,6,3.0,4
36,Media and content interaction,Layout,text and title,increase,current button size,5,6,6,4.0,4
37,Accessing and managing information,Learnability,setting bar,separation,breakfast icon,6,6,6,3.0,3
38,Accessing and managing information,Usability of Buttons,button or icon allow user to see current location,enlarge,button or icon allow user to see current location,5,5,5,2.0,3
39,Accessing and managing information,Learnability,breakfast icon,change,text color contrast,5,7,6,4.0,4
